dataset,feature,length,model_size,auc
Wikipedia (en),grad,700,2.8b,0.5116054999999999
Wikipedia (en),grad,800,2.8b,0.5427760000000001
Wikipedia (en),grad,900,2.8b,0.5288539999999999
Wikipedia (en),grad,0,6.9b,0.5092845
Wikipedia (en),grad,100,6.9b,0.5034460000000001
Wikipedia (en),grad,200,6.9b,0.536584
Wikipedia (en),grad,300,6.9b,0.5340875
Wikipedia (en),grad,400,6.9b,0.502405
Wikipedia (en),grad,500,6.9b,0.5042030000000001
Wikipedia (en),grad,600,6.9b,0.5051505
Wikipedia (en),grad,700,6.9b,0.5054675
Wikipedia (en),grad,800,6.9b,0.519445
Wikipedia (en),grad,900,6.9b,0.5224340000000001
Wikipedia (en),refer,0,410m,0.5135474999999999
Wikipedia (en),refer,100,410m,0.5059644999999999
Wikipedia (en),refer,200,410m,0.5176655
Wikipedia (en),refer,300,410m,0.5034080000000001
Wikipedia (en),refer,400,410m,0.5063255
Wikipedia (en),refer,500,410m,0.513846
Wikipedia (en),refer,600,410m,0.5023610000000001
Wikipedia (en),refer,700,410m,0.5024695
Wikipedia (en),refer,800,410m,0.5139900000000001
Wikipedia (en),refer,900,410m,0.5012295
Wikipedia (en),refer,0,1b,0.516775
Wikipedia (en),refer,100,1b,0.5059644999999999
Wikipedia (en),refer,200,1b,0.5176655
Wikipedia (en),refer,300,1b,0.5032215
Wikipedia (en),refer,400,1b,0.5065335
Wikipedia (en),refer,500,1b,0.5139585
Wikipedia (en),refer,600,1b,0.5031384999999999
Wikipedia (en),refer,700,1b,0.5025470000000001
Wikipedia (en),refer,800,1b,0.5136255000000001
Wikipedia (en),refer,900,1b,0.5012295
Wikipedia (en),refer,0,2.8b,0.516775
Wikipedia (en),refer,100,2.8b,0.5059644999999999
Wikipedia (en),refer,200,2.8b,0.5176655
Wikipedia (en),refer,300,2.8b,0.5034080000000001
Wikipedia (en),refer,400,2.8b,0.5063255
Wikipedia (en),refer,500,2.8b,0.513846
Wikipedia (en),refer,600,2.8b,0.5023610000000001
Wikipedia (en),refer,700,2.8b,0.5024695
Wikipedia (en),refer,800,2.8b,0.5139900000000001
Wikipedia (en),refer,900,2.8b,0.5012295
Wikipedia (en),refer,0,6.9b,0.516964
Wikipedia (en),refer,100,6.9b,0.505918
Wikipedia (en),refer,200,6.9b,0.5176065
Wikipedia (en),refer,300,6.9b,0.503428
Wikipedia (en),refer,400,6.9b,0.5063245000000001
Wikipedia (en),refer,500,6.9b,0.513846
Wikipedia (en),refer,600,6.9b,0.5023610000000001
Wikipedia (en),refer,700,6.9b,0.5024695
Wikipedia (en),refer,800,6.9b,0.5139900000000001
Wikipedia (en),refer,900,6.9b,0.5012295
StackExchange,loss,0,410m,0.5247485
StackExchange,loss,100,410m,0.5021599999999999
