dataset,feature,length,model_size,auc
Wikipedia (en),Perplexity,40,12b,0.5016765000000001
Wikipedia (en),Perplexity,50,12b,0.5338475
Wikipedia (en),Perplexity,60,12b,0.51397
Wikipedia (en),Perplexity,70,12b,0.556784
Wikipedia (en),Perplexity,80,12b,0.523237
Wikipedia (en),Perplexity,90,12b,0.5401775
Wikipedia (en),Min-K% ++,0,160m,0.5044035
Wikipedia (en),Min-K% ++,10,160m,0.5012319999999999
Wikipedia (en),Min-K% ++,20,160m,0.515277
Wikipedia (en),Min-K% ++,30,160m,0.503478
Wikipedia (en),Min-K% ++,40,160m,0.5010190000000001
Wikipedia (en),Min-K% ++,50,160m,0.5026470000000001
Wikipedia (en),Min-K% ++,60,160m,0.5100210000000001
Wikipedia (en),Min-K% ++,70,160m,0.5266249999999999
Wikipedia (en),Min-K% ++,80,160m,0.505273
Wikipedia (en),Min-K% ++,90,160m,0.504921
Wikipedia (en),Min-K% ++,0,410m,0.5017469999999999
Wikipedia (en),Min-K% ++,10,410m,0.506677
Wikipedia (en),Min-K% ++,20,410m,0.522582
Wikipedia (en),Min-K% ++,30,410m,0.502312
Wikipedia (en),Min-K% ++,40,410m,0.501557
Wikipedia (en),Min-K% ++,50,410m,0.521397
Wikipedia (en),Min-K% ++,60,410m,0.5215879999999999
Wikipedia (en),Min-K% ++,70,410m,0.524141
Wikipedia (en),Min-K% ++,80,410m,0.51045
Wikipedia (en),Min-K% ++,90,410m,0.510611
Wikipedia (en),Min-K% ++,0,1b,0.506179
Wikipedia (en),Min-K% ++,10,1b,0.5097959999999999
Wikipedia (en),Min-K% ++,20,1b,0.519849
Wikipedia (en),Min-K% ++,30,1b,0.513379
Wikipedia (en),Min-K% ++,40,1b,0.505548
Wikipedia (en),Min-K% ++,50,1b,0.534276
Wikipedia (en),Min-K% ++,60,1b,0.517594
Wikipedia (en),Min-K% ++,70,1b,0.5343199999999999
Wikipedia (en),Min-K% ++,80,1b,0.512116
Wikipedia (en),Min-K% ++,90,1b,0.51808
Wikipedia (en),Min-K% ++,0,2.8b,0.5240309999999999
Wikipedia (en),Min-K% ++,10,2.8b,0.514536
Wikipedia (en),Min-K% ++,20,2.8b,0.52635
Wikipedia (en),Min-K% ++,30,2.8b,0.52986
Wikipedia (en),Min-K% ++,40,2.8b,0.5258400000000001
Wikipedia (en),Min-K% ++,50,2.8b,0.5627225
Wikipedia (en),Min-K% ++,60,2.8b,0.5543370000000001
Wikipedia (en),Min-K% ++,70,2.8b,0.5675000000000001
Wikipedia (en),Min-K% ++,80,2.8b,0.553108
Wikipedia (en),Min-K% ++,90,2.8b,0.558994
Wikipedia (en),Min-K% ++,0,6.9b,0.5241720000000001
Wikipedia (en),Min-K% ++,10,6.9b,0.516939
Wikipedia (en),Min-K% ++,20,6.9b,0.527038
Wikipedia (en),Min-K% ++,30,6.9b,0.537426
Wikipedia (en),Min-K% ++,40,6.9b,0.526697
Wikipedia (en),Min-K% ++,50,6.9b,0.559448
Wikipedia (en),Min-K% ++,60,6.9b,0.5514060000000001
Wikipedia (en),Min-K% ++,70,6.9b,0.5524260000000001
Wikipedia (en),Min-K% ++,80,6.9b,0.538508
Wikipedia (en),Min-K% ++,90,6.9b,0.5550999999999999
Wikipedia (en),Min-K% ++,0,12b,0.526186
Wikipedia (en),Min-K% ++,10,12b,0.5109980000000001
Wikipedia (en),Min-K% ++,20,12b,0.534271
Wikipedia (en),Min-K% ++,30,12b,0.534944
Wikipedia (en),Min-K% ++,40,12b,0.5355340000000001
Wikipedia (en),Min-K% ++,50,12b,0.55436
Wikipedia (en),Min-K% ++,60,12b,0.556884
Wikipedia (en),Min-K% ++,70,12b,0.564117
Wikipedia (en),Min-K% ++,80,12b,0.554617
Wikipedia (en),Min-K% ++,90,12b,0.570085
Wikipedia (en),Zlib,0,160m,0.500107
Wikipedia (en),Zlib,10,160m,0.5057975
Wikipedia (en),Zlib,20,160m,0.523013
Wikipedia (en),Zlib,30,160m,0.5094069999999999
Wikipedia (en),Zlib,40,160m,0.513478
Wikipedia (en),Zlib,50,160m,0.5149315
Wikipedia (en),Zlib,60,160m,0.5146865
Wikipedia (en),Zlib,70,160m,0.516388
Wikipedia (en),Zlib,80,160m,0.52275
Wikipedia (en),Zlib,90,160m,0.5076975
Wikipedia (en),Zlib,0,410m,0.505459
Wikipedia (en),Zlib,10,410m,0.5067679999999999
Wikipedia (en),Zlib,20,410m,0.523073
Wikipedia (en),Zlib,30,410m,0.5096645
Wikipedia (en),Zlib,40,410m,0.511673
Wikipedia (en),Zlib,50,410m,0.5148059999999999
Wikipedia (en),Zlib,60,410m,0.5158875
Wikipedia (en),Zlib,70,410m,0.5244314999999999
Wikipedia (en),Zlib,80,410m,0.517798
Wikipedia (en),Zlib,90,410m,0.5024515
Wikipedia (en),Zlib,0,1b,0.509482
Wikipedia (en),Zlib,10,1b,0.505812
Wikipedia (en),Zlib,20,1b,0.51983
Wikipedia (en),Zlib,30,1b,0.5055575
Wikipedia (en),Zlib,40,1b,0.5099805
Wikipedia (en),Zlib,50,1b,0.5187740000000001
Wikipedia (en),Zlib,60,1b,0.514194
Wikipedia (en),Zlib,70,1b,0.5282545000000001
Wikipedia (en),Zlib,80,1b,0.516166
Wikipedia (en),Zlib,90,1b,0.5089575
Wikipedia (en),Zlib,0,2.8b,0.5175620000000001
Wikipedia (en),Zlib,10,2.8b,0.5064285
Wikipedia (en),Zlib,20,2.8b,0.5233845
Wikipedia (en),Zlib,30,2.8b,0.5063595000000001
Wikipedia (en),Zlib,40,2.8b,0.5050795
Wikipedia (en),Zlib,50,2.8b,0.5312509999999999
Wikipedia (en),Zlib,60,2.8b,0.5218775
Wikipedia (en),Zlib,70,2.8b,0.5430429999999999
Wikipedia (en),Zlib,80,2.8b,0.5247900000000001
Wikipedia (en),Zlib,90,2.8b,0.5276595000000001
Wikipedia (en),Zlib,0,6.9b,0.5182100000000001
Wikipedia (en),Zlib,10,6.9b,0.5071209999999999
Wikipedia (en),Zlib,20,6.9b,0.523618
Wikipedia (en),Zlib,30,6.9b,0.507274
Wikipedia (en),Zlib,40,6.9b,0.502648
Wikipedia (en),Zlib,50,6.9b,0.530258
Wikipedia (en),Zlib,60,6.9b,0.520297
Wikipedia (en),Zlib,70,6.9b,0.540702
Wikipedia (en),Zlib,80,6.9b,0.5229565
Wikipedia (en),Zlib,90,6.9b,0.5247225
Wikipedia (en),Zlib,0,12b,0.519076
Wikipedia (en),Zlib,10,12b,0.509591
Wikipedia (en),Zlib,20,12b,0.526696
Wikipedia (en),Zlib,30,12b,0.5082690000000001
Wikipedia (en),Zlib,40,12b,0.5065355
Wikipedia (en),Zlib,50,12b,0.5340024999999999
Wikipedia (en),Zlib,60,12b,0.5213715
Wikipedia (en),Zlib,70,12b,0.5449305
Wikipedia (en),Zlib,80,12b,0.528285
Wikipedia (en),Zlib,90,12b,0.5320675
Wikipedia (en),Gradient,0,160m,0.51742
Wikipedia (en),Gradient,10,160m,0.5078445
Wikipedia (en),Gradient,20,160m,0.500378
Wikipedia (en),Gradient,30,160m,0.5130755
Wikipedia (en),Gradient,40,160m,0.5103384999999999
Wikipedia (en),Gradient,50,160m,0.5055485000000001
Wikipedia (en),Gradient,60,160m,0.5047575
Wikipedia (en),Gradient,70,160m,0.5000165000000001
Wikipedia (en),Gradient,80,160m,0.5087515
Wikipedia (en),Gradient,90,160m,0.5018309999999999
Wikipedia (en),Gradient,0,410m,0.503571
